date,items,pettah_average,pettah_min_value,pettah_max_value,food_inflation_Base_2013,percipitation,Bankrupt,pettah_range,pettah_midpoint
9/17/2015,Rice (Rs/kg)_Nadu 1,67.75,66,70,108.2,6.7,0,4,68
9/17/2015,Rice (Rs/kg)_Nadu 2,63.8,63,65,108.2,6.7,0,2,64
9/17/2015,Onion (Rs/Kg)_Sinnan,56.67,50,60,108.2,6.7,0,10,55
9/18/2015,Pulses (Rs/Kg)_Red Dhal,178.4,168,186,108.2,6.86,0,18,177
9/18/2015,Pulses (Rs/Kg)_Green Gram,196,190,200,108.2,6.86,0,10,195
9/18/2015,Pulses (Rs/Kg)_Cowpea,224,220,230,108.2,6.86,0,10,225
9/18/2015,Potatoes (Rs/Kg)_Welimada,86,80,90,108.2,6.86,0,10,85
9/18/2015,Potatoes (Rs/Kg)_Nuwaraeliya,101,95,105,108.2,6.86,0,10,100
9/18/2015,Rice (Rs/kg)_Samba 1,93,91,95,108.2,6.86,0,4,93
9/18/2015,Onion (Rs/Kg)_Vedalan,84,80,90,108.2,6.86,0,10,85
